Employer,Doing Business As,Account Status,Date Enrolled,Date Terminated,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy & Infrastructure Services, LLC",,Open,3/3/2008,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy and Infracture Services,,Terminated,4/28/2009,10/21/2020,500 to 999,9,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAND ENERGY AND INFRASTRUCTURE,,Terminated,10/12/2007,3/24/2021,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy and Infrastructure Inc.,,Terminated,3/23/2010,3/26/2021,"10,000 and over",56,AL, AR, AZ, CA, CO, DE, FL, GA, IL, LA, MD, ME, MI, MO, NC, NJ, NV, OH, OK, PA, TN, TX, UT, WA, WV,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy and Infrastructure of Puerto Rico Corp.,,Open,3/3/2023,,100 to 499,1,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brand energy and infrastructure services,,Terminated,3/24/2009,9/17/2010,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy and Infrastructure Services,,Terminated,6/16/2008,12/1/2010,20 to 99,2,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAND ENERGY AND INFRASTRUCTURE SERVICES,,Terminated,4/27/2009,10/21/2020,500 to 999,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy and Infrastructure Services,,Terminated,2/3/2009,10/21/2020,"1,000 to 2,499",6,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy and Infrastructure Services,,Terminated,7/6/2009,10/21/2020,"1,000 to 2,499",1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy and Infrastructure services,"Brand Energy Solutions, LLC",Open,6/17/2013,,20 to 99,1,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Services,,Terminated,6/18/2008,12/8/2010,20 to 99,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Services,R&R Scaffolding,Open,7/31/2013,,20 to 99,1,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Services LLC,,Open,9/17/2008,,10 to 19,1,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Services of California,,Terminated,8/12/2008,1/6/2018,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Services of California, Inc.",,Open,1/28/2021,,100 to 499,2,CA, WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Services of California, LLC",,Open,4/17/2008,,500 to 999,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Services, Inc",,Open,9/17/2010,,20 to 99,2,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Services, LLC",,Terminated,6/1/2017,8/27/2021,"1,000 to 2,499",1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Services, LLC",,Open,12/2/2010,,20 to 99,1,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Services, LLC",,Terminated,1/7/2014,10/28/2020,500 to 999,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Services, LLC",,Terminated,3/3/2008,9/17/2010,20 to 99,2,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Services, LLC",,Terminated,3/3/2008,9/17/2010,20 to 99,2,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Services, LLC",,Terminated,3/3/2008,1/6/2018,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Services, LLC","Brand Energy Services, LLC.",Terminated,10/19/2017,8/27/2021,"5,000 to 9,999",1,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Services, LLC.",,Terminated,9/16/2009,4/7/2021,100 to 499,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Solutions,,Terminated,2/3/2009,10/21/2020,500 to 999,1,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Solutions,,Terminated,6/25/2008,12/8/2010,20 to 99,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Solutions,,Terminated,2/3/2009,4/7/2021,100 to 499,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Solutions,,Terminated,6/16/2008,12/8/2010,20 to 99,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Solutions,,Terminated,6/16/2008,11/8/2012,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Solutions,,Terminated,6/16/2008,12/8/2010,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Solutions,,Terminated,2/3/2009,4/28/2009,"1,000 to 2,499",1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Solutions (Charleston S.C),,Open,3/9/2012,,20 to 99,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Solutions Corpus Christi,,Terminated,10/4/2011,11/6/2022,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Energy Solutions LLC,,Open,4/17/2008,,20 to 99,1,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Solutions, LLC",,Terminated,5/28/2013,3/2/2020,"5,000 to 9,999",1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRAND ENERGY SOLUTIONS, LLC",,Terminated,1/29/2009,4/7/2021,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Solutions, LLC",,Open,3/24/2009,,20 to 99,5,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Solutions, LLC",,Terminated,9/16/2010,3/2/2020,"2,500 to 4,999",12,GA, NC, SC, VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Solutions, LLC",,Terminated,1/8/2008,3/24/2021,100 to 499,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Solutions, LLC",,Open,1/12/2008,,20 to 99,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Solutions, LLC",,Open,3/3/2008,,20 to 99,1,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Solutions, LLC",,Open,3/3/2008,,20 to 99,1,UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Solutions, LLC.",,Open,7/7/2008,,20 to 99,1,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brand Energy Solutoins, LLC",,Open,4/16/2009,,20 to 99,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brayton Energy, LLC",,Open,2/16/2016,,20 to 99,1,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil Green Energy Technologies LLC,,Open,9/8/2014,,20 to 99,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakthrough Energy,,Open,11/29/2022,,100 to 499,1,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakwater Energy Partners,,Open,5/28/2020,,100 to 499,5,NM, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breen Energy Solutions,,Open,2/8/2012,,20 to 99,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bren-Tronics Energy Systems LLC,,Terminated,11/2/2012,5/13/2016,10 to 19,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bridge Energy Group, Inc.",,Open,7/2/2009,,20 to 99,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigade Energy,,Terminated,10/5/2018,4/21/2023,100 to 499,11,CO, ND, NM, OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGADE ENERGY SERVICES,,Open,8/14/2019,,500 to 999,2,NM, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigade Energy Services,,Terminated,10/17/2019,4/21/2023,"1,000 to 2,499",3,OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bright Concepts, Inc.",Outdoor Lighting & Energy,Open,4/30/2012,,10 to 19,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Home Energy Solutions,,Open,1/23/2013,,5 to 9,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bright Idea Energy Solutions, LLC",Bright Idea Energy Solutions,Open,12/30/2013,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightCore Energy LLC,,Terminated,1/31/2019,2/3/2020,10 to 19,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brightery, LLC",The Energy Savings Store,Open,2/9/2012,,20 to 99,25,KS, MA, MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brightway Energy Solutions Inc,Brightway Energu Solutions INC,Open,3/14/2022,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brilliant Energy, LLC",,Open,10/10/2017,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brimstone Energy,,Open,9/1/2020,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brite Energy Solar, Inc",,Terminated,7/3/2014,3/2/2020,"2,500 to 4,999",51,AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY,
BritEnergy Building Products LLC,,Open,3/3/2010,,5 to 9,1,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadway Energy,Broadway Energy Inc,Open,8/26/2020,,10 to 19,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Babb Chemicals Inc,Greenwell Energy Solutions,Terminated,1/29/2018,8/27/2021,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brummitt Energy Associates,Inc.","Brummitt Energy Associates,Inc.",Open,6/10/2015,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunel Energy Inc,,Open,3/17/2022,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunel Energy Inc.,,Open,10/25/2013,,500 to 999,2,TX, UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRYAN FRANCIS ENERGY SERVICES, LLC",,Open,5/17/2017,,10 to 19,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bryan Francis Energy Services, LLC",,Open,12/27/2012,,10 to 19,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Energy Holding US LLC,Building Energy Holding US LLC,Terminated,5/9/2017,2/12/2021,5 to 9,1,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Energy Inc.,,Open,10/22/2012,,10 to 19,3,CA, IL, OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Building Energy Sciences, LLC",,Open,3/29/2011,,5 to 9,1,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building Energy Solutions & Technology,"Bes-Tech, Inc.",Open,6/8/2017,,20 to 99,1,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Building Energy Solutions & Technology, Inc.","Bes-Tech, Inc.",Open,1/4/2012,,20 to 99,1,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Building Energy Solutions and Technology, Inc","Bes-Tech, Inc",Open,6/18/2018,,10 to 19,1,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bulldog Energy Solutions, LLC.","Bulldog Energy Solutions, LLC.",Open,1/26/2016,,10 to 19,2,AZ, NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullet EV Charging Solutions LLC,Greenwave Energy & Roofing LLC,Open,4/28/2023,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullet EV Charging Solutions LLC,Greenwave Energy & Roofing LLC,Open,4/21/2023,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burch Energy Services LLC,,Open,2/23/2022,,10 to 19,1,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burnsed Energy Services, Inc.",,Open,12/27/2011,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burton Energy Group LLC,,Terminated,12/6/2018,4/6/2019,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burton Energy Group, Inc.",,Terminated,12/28/2015,10/16/2017,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burton Energy Group, LLC",,Open,2/20/2014,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burton Energy Group, LLC",,Terminated,3/14/2019,2/3/2020,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BW ENERGY USA MANAGEMENT, INC.",,Open,9/8/2020,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BYD Energy, LLC.",,Open,2/28/2018,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C & J Energy Services,Nabors,Open,7/27/2015,,"5,000 to 9,999",39,AL, CO, KS, LA, MT, ND, NM, OK, PA, TX, UT, VA, WV, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C&D Energy,CD Specialty Contractors,Open,5/16/2019,,100 to 499,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C&J Energy Services, Inc.",,Terminated,10/18/2018,2/25/2022,"5,000 to 9,999",109,CA, CO, MS, MT, ND, NM, OK, PA, TX, UT, VA, WV, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C12 Energy LLC,,Open,11/10/2011,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2 Energy Capital,,Open,3/20/2020,,20 to 99,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2S Energy LLC,,Open,2/19/2020,,5 to 9,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caiman Energy II, LLC",,Terminated,7/24/2015,11/6/2022,100 to 499,12,OH, PA, TX, WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALDWELL ENERGY COMPANY LLC,,Open,2/21/2023,,5 to 9,1,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CalEnergy Operating Corporation,,Open,3/28/2008,,100 to 499,5,AZ, CA, IL, NY, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calico Energy Inc.,,Open,2/21/2021,,20 to 99,5,AZ, CA, IL, TX, WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Bioenergy,,Open,1/19/2023,,20 to 99,2,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Energy Commission,,Open,7/22/2021,,500 to 999,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California Energy Designs, Inc",,Open,4/23/2020,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camel Energy Inc,,Open,3/1/2018,,5 to 9,1,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canvas Energy,,Open,8/11/2022,,20 to 99,6,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cap Rock Energy,,Terminated,5/27/2008,3/31/2021,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Cod Energy Solutions LLC,High Efficiency LLC,Open,7/22/2020,,10 to 19,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Energy Co,,Open,6/6/2012,,10 to 19,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Energy Group LLC,,Open,2/19/2020,,10 to 19,1,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAPITAL ENERGY LEASING CO, LLC",,Open,6/15/2010,,5 to 9,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Energy LLC,Capital Energy Ohio,Open,3/2/2017,,20 to 99,1,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cappstone Energy Group, LLC",,Open,5/4/2015,,5 to 9,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capstone Energy Services,,Terminated,6/4/2014,8/27/2021,100 to 499,2,PA, WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capstone Energy Services LLC,,Open,5/19/2014,,20 to 99,100,AL, OH, PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capstone Energy Services, LLC",,Terminated,3/17/2014,5/7/2014,100 to 499,1,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon Energy Corporation,,Open,6/21/2018,,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CARDINAL ENERGY SERVICES, INC",,Open,10/30/2013,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carl T. Madsen, Inc.",Sound Energy Systems,Open,12/28/2021,,20 to 99,1,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton Energy Consulting,,Open,2/19/2017,,5 to 9,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carlisle Energy Group, Inc.",,Open,2/15/2018,,20 to 99,1,LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carnelian Energy Capital Management, L.P.",,Open,11/8/2021,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroilina Green Energy Systems,,Open,3/21/2012,,10 to 19,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Energy Conservation,,Open,7/17/2015,,10 to 19,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Energy Conservation,,Terminated,9/8/2015,1/28/2018,10 to 19,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Energy Conservation,Carolina Energy Conservation,Open,7/17/2018,,20 to 99,1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Energy Distributors,,Open,12/30/2011,,20 to 99,2,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera Energy LLC,,Open,10/1/2014,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Energy Group,,Open,4/17/2013,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarterEnergy Corporation,,Terminated,12/23/2008,3/31/2021,100 to 499,2,KS, MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cascade Energy, Inc.",,Open,10/10/2017,,100 to 499,9,CA, ID, IL, OR, UT, WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cascade Energy, Inc.",,Terminated,7/9/2018,8/27/2021,100 to 499,1,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cascade Energy,Inc.",,Open,9/13/2010,,20 to 99,3,OR, UT, WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CASTLE ENERGY GROUP, LLC",,Open,9/11/2009,,500 to 999,1,MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalyst Energy Services Inc,,Open,10/16/2018,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar Energy Solutions Inc.,"MWM of America, Inc.",Open,9/10/2013,,10 to 19,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cates Energy Services,Inc.",,Open,7/11/2013,,5 to 9,1,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cathedral Energy Services, Inc",,Terminated,4/1/2020,5/18/2023,100 to 499,2,OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cavalry Energy Services, Inc.","Cavalry Energy Services, Inc.",Open,6/2/2020,,10 to 19,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CC Energy USA, Inc",,Open,5/23/2019,,5 to 9,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CCI ENERGY AND CONSTRUCTION SERVICES, LLC",,Open,10/13/2017,,20 to 99,1,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD SPECIALTY CONTRACTORS,"C & D ENERGY SERVICES, INC. COLORADO SCAFFOLDING & EQUIP. CO.",Open,12/12/2016,,20 to 99,4,AZ, CO, WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDH Energy Corp,,Open,8/11/2008,,5 to 9,2,NY, WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDH Energy Corp.,,Terminated,4/17/2017,3/17/2023,10 to 19,1,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CDI Energy Products, LLC",,Open,9/6/2019,,100 to 499,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
