Employer,Doing Business As,Account Status,Date Enrolled,Date Terminated,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abengoa Bioenergy of Indiana, LLC","Abengoa Bioenergy of Indiana, LLC",Open,2/14/2013,,20 to 99,1,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abengoa Bioenergy of Nebraska, LLC","Abengoa Bioenergy of Nebraska, LLC",Open,2/14/2013,,20 to 99,1,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abengoa Bioenergy Outsourcing LLC,Abengoa Bioenergy Outsourcing LLC,Open,2/13/2013,,20 to 99,1,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abengoa Bioenergy Trading US, LLC","Abengoa Bioenergy Trading US, LLC",Open,2/14/2013,,20 to 99,3,MO, NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aberdeen Energy, LLC",,Open,9/28/2022,,20 to 99,1,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABM Building & Energy Solutions Group,,Terminated,4/25/2014,9/17/2021,"1,000 to 2,499",1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abode Energy Management,,Open,11/5/2018,,10 to 19,1,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraxas Energy Consulting,,Open,8/24/2011,,20 to 99,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accio Energy, Inc.",,Open,12/10/2016,,10 to 19,1,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accion Energy, LLC",,Open,8/9/2022,,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acciona Energy USA Global,,Open,10/9/2012,,100 to 499,1,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accurate Energy Services, Inc.",,Open,3/9/2016,,10 to 19,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace Energy Services,Ace Energy Services,Open,6/17/2015,,10 to 19,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ace Energy Services, LLC.",,Open,10/23/2012,,20 to 99,1,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acme Energy Services,,Terminated,6/17/2010,11/6/2022,500 to 999,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acme Energy Services, Inc.",,Terminated,8/21/2015,2/3/2023,"1,000 to 2,499",3,OK, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acme Energy Services, Inc.",,Terminated,10/28/2008,10/21/2020,500 to 999,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Active Energy Services, LLC",,Open,1/15/2013,,10 to 19,1,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad Energy LLC,,Open,5/16/2016,,10 to 19,2,NJ, NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ADC Energy USA, Inc.",,Open,7/25/2017,,5 to 9,1,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Add Energy, LLC",,Terminated,8/15/2018,4/8/2023,20 to 99,1,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Addison Energy Technologies,LLC",,Open,2/17/2010,,20 to 99,1,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Energy Management,,Open,10/22/2019,,5 to 9,1,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
